what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1281544098328
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1281544098375
started,bundle,org.eclipse.ui.intro.universal,3.2.400.v20100517,"org.eclipse.ui.intro.universal",1281544098375
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1281544098375
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1281544098375
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1281544098390
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1281544098437
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1281544098437
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1281544098468
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1281544098468
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1281544098468
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1281544098468
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1281544098484
os,sysinfo,,,"win32",1281544098484
arch,sysinfo,,,"x86",1281544098484
ws,sysinfo,,,"win32",1281544098484
locale,sysinfo,,,"da_DK",1281544098484
processors,sysinfo,,,"2",1281544098484
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1281544098484
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1281544098484
java.specification.name,sysinfo,,,"Java Platform API Specification",1281544098484
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1281544098484
java.specification.version,sysinfo,,,"1.6",1281544098484
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1281544098484
java.version,sysinfo,,,"1.6.0_21",1281544098484
java.vm.info,sysinfo,,,"mixed mode",1281544098484
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1281544098484
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1281544098484
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1281544098484
java.vm.specification.version,sysinfo,,,"1.0",1281544098484
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1281544098484
java.vm.version,sysinfo,,,"17.0-b17",1281544098484
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1281544098593
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1281544098640
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql.h2",1281544098843
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1281544098984
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1281544099046
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100616-1900,"org.eclipse.php.debug.daemon",1281544099062
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1281544099093
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1281544099218
